Genre,Publisher,Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Action,Nobilis,29495,4016.0,0.05,0.01,0.0,0.0,0.060000000000000005
Action,Nordcurrent,12928,2007.0,0.05,0.0,0.0,0.0,0.05
Action,Nordic Games,97534,16114.0,0.19999999999999998,0.3600000000000001,0.0,0.09999999999999999,0.6500000000000001
Action,Ocean,17992,5986.0,1.04,0.51,0.02,0.05,1.6199999999999999
Action,Oxygen Interactive,37387,6026.0,0.18000000000000002,0.0,0.0,0.01,0.2
Action,PQube,127212,20148.0,0.22,0.15,0.19000000000000003,0.060000000000000005,0.6300000000000001
Action,Palcom,277,1989.0,3.38,0.44,0.31,0.04,4.17
Action,Parker Bros.,24142,9909.0,3.6,0.21,0.0,0.03,3.8500000000000005
Action,PlayV,8494,2010.0,0.0,0.14,0.0,0.02,0.16
Action,Playlogic Game Factory,61876,12053.0,0.54,0.09,0.0,0.06999999999999999,0.68
Action,Popcorn Arcade,11406,2007.0,0.07,0.0,0.0,0.01,0.08
Action,Prototype,14860,2012.0,0.0,0.0,0.03,0.0,0.03
Action,Psygnosis,40172,9987.0,0.7000000000000001,0.48,0.0,0.08,1.26
Action,Quinrose,47171,6036.0,0.0,0.0,0.05,0.0,0.05
Action,Red Storm Entertainment,13490,2001.0,0.02,0.02,0.0,0.0,0.04
Action,Rising Star Games,75410,16072.0,0.9699999999999999,0.42000000000000004,0.09,0.14,1.6400000000000001
Action,Rocket Company,40191,6035.0,0.0,0.0,0.17,0.0,0.17
Action,Rondomedia,3109,2009.0,0.56,0.04,0.0,0.05,0.65
Action,Russel,30185,4019.0,0.0,0.0,0.05,0.0,0.05
Action,SCS Software,9372,2012.0,0.0,0.12,0.0,0.02,0.13
Action,SCi,57613,10020.0,0.26,0.14,0.0,0.03,0.45999999999999996
Action,Saurus,15794,1998.0,0.01,0.01,0.0,0.0,0.02
Action,Scholastic Inc.,5094,2010.0,0.35,0.0,0.0,0.02,0.37
Action,Screenlife,29948,6042.0,0.0,0.01,0.52,0.0,0.54
Action,Sega,770176,192739.0,15.079999999999998,7.629999999999997,6.2,3.2299999999999947,32.149999999999984
Action,Seventh Chord,11387,2013.0,0.0,0.0,0.08,0.0,0.08
Action,Sold Out,15943,2016.0,0.01,0.01,0.0,0.0,0.02
Action,Sony Computer Entertainment,493240,180658.0,46.08999999999998,29.84,3.959999999999999,14.57999999999999,94.51999999999998
Action,Sony Computer Entertainment Europe,147,2013.0,2.41,2.28,0.28,1.01,5.99
Action,SouthPeak Games,97897,18076.0,0.7400000000000002,0.06999999999999999,0.04,0.060000000000000005,0.9100000000000001
Action,Spike,115313,20093.0,0.06,0.0,0.9000000000000001,0.01,0.9700000000000002
